Adaugare student, 2021.05.05.15.05.42
Afisare informatii despre studenti, 2021.05.05.15.06.01
Adaugare profesor, 2021.05.05.15.06.32
Afisare informatii despre profesori si asistenti, 2021.05.05.15.06.40
Adaugare asistent, 2021.05.05.15.07.08
Afisare informatii despre profesori si asistenti, 2021.05.05.15.07.18
Afisare informatii despre profesori si asistenti, 2021.05.05.15.10.50
Adaugare materie, 2021.05.05.15.12.13
Afisare informatii despre materii, 2021.05.05.15.14.15
Notare examen/proiect, 2021.05.05.15.17.06
Afisare clasement studenti, 2021.05.05.15.17.19
Afisare clasement studenti, 2021.05.05.15.20.37
Notare examen/proiect, 2021.05.05.15.21.18
Notare examen/proiect, 2021.05.05.15.21.42
Afisare clasement studenti, 2021.05.05.15.21.48
Afisare informatii despre studenti, 2021.05.27.18.20.18
Afisare informatii despre materii, 2021.05.27.18.20.56
